,Score
kyahnu,57.7
jhs1077,4.2
lad-blip,3.5
Jass2345,3.7
pogaem,2.7
how-to-song,2.7
MING9UCCI,3.3000000000000003
weeksun02,2.5999999999999996
jw21603,2.3
hyn033,2.3
xhltkwk,2.3
seongmin1538,2.3
jaewon786,3.1
jeonggeun1,1.9000000000000001
ohhyeonghwan,1.9000000000000001
sieunkirn,1.9000000000000001
lavee1023,1.9000000000000001
lxyul,1.9000000000000001
eunwoooo,2.5
keveu,1.9000000000000001
bym010312,1.9000000000000001
kyagrd,2.2
AnhyunJun1741,1.9000000000000001
porvs,1.5000000000000002
Sinhyungju,1.5000000000000002
eunoa,1.5000000000000002
Bluewak,1.5000000000000002
kjason0102,1.5000000000000002
grapefruit2589,1.8000000000000003
uzihyun,1.5000000000000002
yougyeongsu,0.6
seokwd,0.8999999999999999
SongHyunWoo123,1.5
Sernn0,0.3
lpoipk,0.3
cmin03,0.3
hansangik2,0.3
moongyeong000,0.3
dbrhr5,0.3
speedmult,0.3
kanggyuhyuk,0.3
smallisl,0.8999999999999999
seoyoomi,0.3
cchhap,0.3
jungdongu,0.3
joon0447,0.3
sangmyoung0,0.6
Jae-Hyuk-Lee,0.3
sanghoon03,0.6
seojunyong00,0.6
StaySober01,0.6
lsc1124,0.3
JosephStalin0305,0.3
jinho131,0.3
jung0148,0.3
hyunsang1021,0.3
yoohyeonahh,0.3
syl0073,0.3
parkjueuny,0.3
godolll,0.3
INHYOYUN,0.3
MyeongHyeonCheol,0.3
sungh00,0.3
taegeon1ee,0.6
JangNayoungg,0.3
LIMGEUNHYEONG,0.6
KohSeungJae,0.3
Enzjo,0.3
jungsuryeon,0.3
isDohyeon,0.3
sun-juu,0.3
